,Seed,Seed,Accuracy,Accuracy,Precision,Precision,Recall,Recall,F1,F1,AUC-ROC,AUC-ROC,Deletion_Score,Deletion_Score,Insertion_Score,Insertion_Score,ROAR_0%,ROAR_0%,ROAR_20%,ROAR_20%,ROAR_40%,ROAR_40%,ROAR_60%,ROAR_60%,ROAR_80%,ROAR_80%
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Method,,,,,,,,,,,,,,,,,,,,,,,,,,
DeepLift,2.0,1.5811,0.834,0.0114,0.8564,0.011,0.9429,0.0253,0.8973,0.0083,0.796,0.0121,0.8988,0.0559,0.9455,0.0168,0.796,0.0121,0.6489,0.036,0.6331,0.0152,0.6329,0.0144,0.5697,0.0295
GradientShap,2.0,1.5811,0.834,0.0114,0.8564,0.011,0.9429,0.0253,0.8973,0.0083,0.796,0.0121,0.8968,0.0498,0.9461,0.0163,0.796,0.0121,0.6619,0.0323,0.613,0.029,0.6282,0.0343,0.587,0.0347
IntegratedGradients,2.0,1.5811,0.834,0.0114,0.8564,0.011,0.9429,0.0253,0.8973,0.0083,0.796,0.0121,0.8961,0.0513,0.9465,0.0163,0.796,0.0121,0.6472,0.0492,0.6213,0.0265,0.6148,0.0253,0.5726,0.0168
