Seed,Method,Accuracy,Precision,Recall,F1,AUC-ROC,Deletion_Score,Insertion_Score,ROAR_0%,ROAR_20%,ROAR_40%,ROAR_60%,ROAR_80%
0,IntegratedGradients,0.83,0.8571428571428571,0.935064935064935,0.8944099378881988,0.7882552230378318,0.8946532378904521,0.9481728407554328,0.7882552230378318,0.6679841897233202,0.6092603049124788,0.6177300959909655,0.5793337097684924
0,DeepLift,0.83,0.8571428571428571,0.935064935064935,0.8944099378881988,0.7882552230378318,0.9060643282718956,0.9492940451018512,0.7882552230378318,0.6499153020892151,0.634669678147939,0.6324110671936759,0.5957086391869001
0,GradientShap,0.83,0.8571428571428571,0.935064935064935,0.8944099378881988,0.7882552230378318,0.8950268342159688,0.9474996733479202,0.7882552230378318,0.6696781479390175,0.6199887069452287,0.6199887069452287,0.5420666290231507
1,IntegratedGradients,0.82,0.8470588235294118,0.935064935064935,0.8888888888888888,0.8136645962732919,0.9110718830488622,0.9581527695991099,0.8136645962732919,0.6922642574816488,0.6595143986448334,0.64257481648786,0.5708639186900056
1,DeepLift,0.82,0.8470588235294118,0.935064935064935,0.8888888888888888,0.8136645962732919,0.9188803038559854,0.958088147919625,0.8136645962732919,0.7001693958215698,0.6329757199322417,0.6284584980237155,0.5573122529644269
1,GradientShap,0.82,0.8470588235294118,0.935064935064935,0.8888888888888888,0.8136645962732919,0.9152494505979121,0.9588590865023434,0.8136645962732919,0.7092038396386222,0.5742518351214003,0.588368153585545,0.6216826651609261
2,IntegratedGradients,0.84,0.8505747126436781,0.961038961038961,0.9024390243902439,0.8012422360248448,0.9392464989796281,0.9587570885196328,0.8012422360248448,0.5635234330886505,0.6002258610954263,0.5900621118012422,0.5477131564088086
2,DeepLift,0.84,0.8505747126436781,0.961038961038961,0.9024390243902439,0.8012422360248448,0.9387117959558964,0.9562752861529589,0.8012422360248448,0.5996612083568605,0.6482213438735178,0.6408808582721627,0.5398080180688876
2,GradientShap,0.84,0.8505747126436781,0.961038961038961,0.9024390243902439,0.8012422360248448,0.9370189923793077,0.9576392406597733,0.8012422360248448,0.619424054206663,0.5923207227555054,0.6160361377752682,0.5646527385657821
3,IntegratedGradients,0.83,0.875,0.9090909090909091,0.89171974522293,0.7826086956521738,0.9264331208541989,0.948823225684464,0.7826086956521738,0.6606437041219649,0.6380575945793338,0.6357989836250706,0.5940146809712027
3,DeepLift,0.83,0.875,0.9090909090909091,0.89171974522293,0.7826086956521738,0.9292733762413263,0.9471033615991473,0.7826086956521738,0.6549971767363072,0.6414455110107284,0.6504799548277809,0.6064370412196498
3,GradientShap,0.83,0.875,0.9090909090909091,0.89171974522293,0.7826086956521738,0.9245711481198668,0.9478097353130579,0.7826086956521738,0.6566911349520046,0.6408808582721627,0.6815358554488989,0.6199887069452287
4,IntegratedGradients,0.85,0.8522727272727273,0.974025974025974,0.9090909090909091,0.7944664031620553,0.8093097591772676,0.9187555313110352,0.7944664031620553,0.6516092603049125,0.5996612083568605,0.5878035008469791,0.5708639186900056
4,DeepLift,0.85,0.8522727272727273,0.974025974025974,0.9090909090909091,0.7944664031620553,0.8013013135641813,0.9166657906025648,0.7944664031620553,0.639751552795031,0.6081309994353473,0.6120835686053077,0.5494071146245059
4,GradientShap,0.85,0.8522727272727273,0.974025974025974,0.9090909090909091,0.7944664031620553,0.8119803043082356,0.9185875654220581,0.7944664031620553,0.6544325239977413,0.6374929418407679,0.6352343308865047,0.5866741953698476
